70th results => Agent cycle: 178, Added: 3065, InQLoss: 21.5858, ExQLoss: 0.0068, EmbeddingLoss: 1.6219, LifeLongLoss: 0.00000003 
71th results => Agent cycle: 183, Added: 2908, InQLoss: 24.3950, ExQLoss: 0.0086, EmbeddingLoss: 1.6008, LifeLongLoss: 0.00000002 
72th results => Agent cycle: 175, Added: 3042, InQLoss: 23.5772, ExQLoss: 0.0083, EmbeddingLoss: 1.6095, LifeLongLoss: 0.00000002 
73th results => Agent cycle: 170, Added: 2805, InQLoss: 24.1601, ExQLoss: 0.0075, EmbeddingLoss: 1.5908, LifeLongLoss: 0.00000002 
74th results => Agent cycle: 167, Added: 2622, InQLoss: 22.6287, ExQLoss: 0.0074, EmbeddingLoss: 1.5794, LifeLongLoss: 0.00000002 
75th results => Agent cycle: 183, Added: 3164, InQLoss: 23.8833, ExQLoss: 0.0075, EmbeddingLoss: 1.5944, LifeLongLoss: 0.00000001 
76th results => Agent cycle: 191, Added: 2712, InQLoss: 27.3481, ExQLoss: 0.0080, EmbeddingLoss: 1.5870, LifeLongLoss: 0.00000002 
77th results => Agent cycle: 194, Added: 3185, InQLoss: 29.3952, ExQLoss: 0.0091, EmbeddingLoss: 1.5831, LifeLongLoss: 0.00000002 
78th results => Agent cycle: 194, Added: 3129, InQLoss: 27.3271, ExQLoss: 0.0089, EmbeddingLoss: 1.5750, LifeLongLoss: 0.00000001 
79th results => Agent cycle: 205, Added: 3050, InQLoss: 30.3261, ExQLoss: 0.0098, EmbeddingLoss: 1.5825, LifeLongLoss: 0.00000001 
80th results => Agent cycle: 192, Added: 2733, InQLoss: 28.0173, ExQLoss: 0.0110, EmbeddingLoss: 1.5808, LifeLongLoss: 0.00000001 
81th results => Agent cycle: 185, Added: 2956, InQLoss: 27.7164, ExQLoss: 0.0089, EmbeddingLoss: 1.5647, LifeLongLoss: 0.00000001 
82th results => Agent cycle: 198, Added: 3236, InQLoss: 28.2194, ExQLoss: 0.0098, EmbeddingLoss: 1.5628, LifeLongLoss: 0.00000001 
83th results => Agent cycle: 194, Added: 2676, InQLoss: 24.1987, ExQLoss: 0.0092, EmbeddingLoss: 1.5699, LifeLongLoss: 0.00000001 
84th results => Agent cycle: 202, Added: 2976, InQLoss: 24.7432, ExQLoss: 0.0086, EmbeddingLoss: 1.5322, LifeLongLoss: 0.00000001 
85th results => Agent cycle: 201, Added: 2659, InQLoss: 24.6425, ExQLoss: 0.0079, EmbeddingLoss: 1.5778, LifeLongLoss: 0.00000001 
86th results => Agent cycle: 183, Added: 2638, InQLoss: 25.0954, ExQLoss: 0.0094, EmbeddingLoss: 1.5446, LifeLongLoss: 0.00000001 
87th results => Agent cycle: 189, Added: 2925, InQLoss: 24.2096, ExQLoss: 0.0106, EmbeddingLoss: 1.5404, LifeLongLoss: 0.00000001 
88th results => Agent cycle: 195, Added: 2919, InQLoss: 22.2540, ExQLoss: 0.0098, EmbeddingLoss: 1.5502, LifeLongLoss: 0.00000001 
89th results => Agent cycle: 177, Added: 2690, InQLoss: 24.3873, ExQLoss: 0.0082, EmbeddingLoss: 1.5380, LifeLongLoss: 0.00000001 
90th results => Agent cycle: 163, Added: 2768, InQLoss: 21.0117, ExQLoss: 0.0084, EmbeddingLoss: 1.5458, LifeLongLoss: 0.00000001 
